"漢字","学年","出題級","画数","音読み","訓読み（送り仮名）","熟語の例","部首の候補","部首のもとの字","部首名","部首の校正状態","同訓異字"
"新","2年","6級から","13","シン","あたら（しい）・あらた・にい","新聞（しんぶん）・新潟（にいがた）・革新（かくしん）・新米（しんまい）・新旧（しんきゅう）","斤","","","未校正",""
"親","2年","6級から","16","シン","おや・した（しい）・した（しむ）","母親（ははおや）・父親（ちちおや）・両親（りょうしん）・親子（おやこ）・親切（しんせつ）","見","","","未校正",""
"図","2年","6級から","7","ズ・ト","はか（る）","図書館（としょかん）・意図（いと）・地図（ちず）・図書（としょ）・図形（ずけい）","囗","","","未校正","計る・測る・量る・謀る"
"数","2年","6級から","13","スウ・ス","かず・かぞ（える）","数字（すうじ）・多数（たすう）・複数（ふくすう）・人数（にんずう）・数値（すうち）","攵","攴","","未校正",""
"西","2年","6級から","6","セイ・サイ","にし","西部（せいぶ）・東西（とうざい）・北西（ほくせい）・西日（にしび）・西国（さいごく）","西","襾","","未校正",""
"声","2年","6級から","7","セイ・ショウ","こえ・こわ","歌声（うたごえ）・名声（めいせい）・声楽（せいがく）・拡声器（かくせいき）・声色（こわいろ）","士","土","","未校正",""
"星","2年","6級から","9","セイ・ショウ","ほし","衛星（えいせい）・星座（せいざ）・流星（りゅうせい）・明星（みょうじょう）・黒星（くろぼし）","日","","","未校正",""
"晴","2年","6級から","12","セイ","は（れる）・は（らす）","快晴（かいせい）・晴天（せいてん）・晴雨（せいう）","日","","","未校正",""
"切","2年","6級から","4","セツ・サイ","き（る）・き（れる）","適切（てきせつ）・一切（いっさい）・親切（しんせつ）・切断（せつだん）・小切手（こぎって）","刀","","","未校正","斬る"
"雪","2年","6級から","11","セツ","ゆき","積雪（せきせつ）・初雪（はつゆき）・降雪（こうせつ）・粉雪（こなゆき）","雨","","","未校正",""
"船","2年","6級から","11","セン","ふね・ふな","造船（ぞうせん）・漁船（ぎょせん）・乗船（じょうせん）・船頭（せんどう）・大船（おおぶね）","舟","","","未校正","舟"
"線","2年","6級から","15","セン","","曲線（きょくせん）・線路（せんろ）・沿線（えんせん）・幹線（かんせん）・光線（こうせん）","糸","","","未校正",""
"前","2年","6級から","9","ゼン","まえ","名前（なまえ）・以前（いぜん）・午前（ごぜん）・前提（ぜんてい）・前後（ぜんご）","","","","未校正",""
"組","2年","6級から","11","ソ","く（む）・くみ","組織（そしき）・番組（ばんぐみ）・組成（そせい）・組長（くみちょう）・改組（かいそ）","糸","","","未校正",""
"走","2年","6級から","7","ソウ","はし（る）","走行（そうこう）・競走（きょうそう）","走","","","未校正",""
"多","2年","6級から","6","タ","おお（い）","多数（たすう）・多少（たしょう）・多岐（たき）・雑多（ざった）・多元（たげん）","夕","","","未校正",""
"太","2年","6級から","4","タイ・タ","ふと（い）・ふと（る）","太陽（たいよう）・皇太子（こうたいし）・丸太（まるた）・太古（たいこ）・皇太后（こうたいごう）","大","","","未校正",""
"体","2年","6級から","7","タイ・テイ","からだ","身体（からだ）・主体（しゅたい）・体系（たいけい）・半導体（はんどうたい）・液体（えきたい）","亻","人","","未校正",""
"台","2年","6級から","5","ダイ・タイ","","台風（たいふう）・台所（だいどころ）・灯台（とうだい）・高台（たかだい）・台地（だいち）","","","","未校正",""
"地","2年","6級から","6","チ・ジ","","地域（ちいき）・地方（ちほう）・地球（ちきゅう）・土地（とち）・地元（じもと）","土","","","未校正",""
"池","2年","6級から","6","チ","いけ","電池（でんち）・古池（ふるいけ）・貯水池（ちょすいち）","氵","水","","未校正",""
"知","2年","6級から","8","チ","し（る）","知識（ちしき）・承知（しょうち）・通知（つうち）・知人（ちじん）・周知（しゅうち）","矢","","","未校正",""
"茶","2年","6級から","9","チャ・サ","","紅茶（こうちゃ）・茶色（ちゃいろ）・緑茶（りょくちゃ）・番茶（ばんちゃ）・茶番劇（ちゃばんげき）","艹","艸","","未校正",""
"昼","2年","6級から","9","チュウ","ひる","昼食（ちゅうしょく）・昼夜（ちゅうや）・真昼（まひる）・白昼（はくちゅう）・夜昼（よるひる）","","","","未校正",""
"長","2年","6級から","8","チョウ","なが（い）","成長（せいちょう）・延長（えんちょう）・長崎（ながさき）・長男（ちょうなん）・長女（ちょうじょ）","長","","","未校正","永い"
"鳥","2年","6級から","11","チョウ","とり","鳥取（とりとり）・小鳥（ことり）・鳥居（とりい）・野鳥（やちょう）・一石二鳥（いっせきにちょう）","鳥","","","未校正",""
"朝","2年","6級から","12","チョウ","あさ","今朝（けさ）・朝日（あさひ）・朝食（ちょうしょく）・早朝（そうちょう）・毎朝（まいあさ）","月","肉","","未校正",""
"直","2年","6級から","8","チョク・ジキ","ただ（ちに）・なお（す）・なお（る）","直接（ちょくせつ）・正直（しょうじき）・直感（ちょっかん）・直径（ちょっけい）・垂直（すいちょく）","","","","未校正","治す・治る"
"通","2年","6級から","10","ツウ・ツ","とお（る）・とお（す）・かよ（う）","通信（つうしん）・共通（きょうつう）・交通（こうつう）・通貨（つうか）・通知（つうち）","⻌","辶","","未校正",""
"弟","2年","6級から","7","テイ・ダイ・デ","おとうと","兄弟（きょうだい）・弟子（でし）・子弟（してい）・義弟（ぎてい）・弟妹（ていまい）","","","","未校正",""
"店","2年","6級から","8","テン","みせ","支店（してん）・開店（かいてん）・本店（ほんてん）・百貨店（ひゃっかてん）・閉店（へいてん）","广","","","未校正",""
"点","2年","6級から","9","テン","","点検（てんけん）・弱点（じゃくてん）・頂点（ちょうてん）・採点（さいてん）・要点（ようてん）","","","","未校正",""
"電","2年","6級から","13","デン","","電車（でんしゃ）・電気（でんき）・発電（はつでん）・電波（でんぱ）・電池（でんち）","雨","","","未校正",""
"刀","2年","6級から","2","トウ","かたな","助太刀（すけだち）・短刀（たんとう）・刀創（とうそう）・名刀（めいとう）","刀","","","未校正",""
"冬","2年","6級から","5","トウ","ふゆ","冬季（とうき）・冬至（とうじ）","","","","未校正",""
"当","2年","6級から","6","トウ","あ（たる）・あ（てる）","当然（とうぜん）・当時（とうじ）・担当（たんとう）・相当（そうとう）・不当（ふとう）","⺌","小","","未校正","宛てる・充てる"
"東","2年","6級から","8","トウ","ひがし","東西（とうざい）・東側（ひがしがわ）・東宮（とうぐう）・以東（いとう）・東国（とうごく）","","","","未校正",""
"答","2年","6級から","12","トウ","こた（える）・こた（え）","回答（かいとう）・答弁（とうべん）・応答（おうとう）・問答（もんどう）","竹","","","未校正","応える"
"頭","2年","6級から","16","トウ・ズ・ト","あたま・かしら","頭痛（ずつう）・頭脳（ずのう）・街頭（がいとう）・頭部（とうぶ）・頭上（ずじょう）","","","","未校正",""
"同","2年","6級から","6","ドウ","おな（じ）","共同（きょうどう）・同一（どういつ）・同盟（どうめい）・合同（ごうどう）・賛同（さんどう）","","","","未校正",""
